"answer","question"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okulun ilk ders günü ne zaman"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okulun ilk günü ne zaman"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem başlangıç tarihi nedir"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okulun 1. dönemi ne zaman başlar"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okulun açılış tarihi ne zaman"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","derslerin başlayacağı tarih nedir"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz_dönemi_başlangıç_tarihi"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz_dönemi_ders_başlangıç_tarihi"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz_dönemi_eğitim_başlangıcı" 
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz_dönemi_okul_başlangıç"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz_dönemi_başlangıç_tarihi"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz_dönemi_okul_ne_zaman_başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz_dönemi_hangi gün başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz dönemi ne zaman başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz dönemi hangi tarihte başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz dönemi ne zaman açılıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz dönemi dersleri ne zaman başlayacak"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz dönemi derslerin başlama tarihi ne"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz dönemi eğitim ne zaman başlar"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz dönemi hangi gün açılacak"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz dönemi açılış tarihi nedir"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","güz dönemi başlangıç günü ne zaman"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem okul başlangıç"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem okul ne zaman başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem dersler ne zaman başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem_ders_başlangıç_tarihi"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem_hangi gün başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem ne zaman başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem ne zaman açılacak"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem dersleri hangi tarihte başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem hangi tarihte başlar"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem açılış tarihi nedir"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okulun birinci dönemi ne zaman başlar"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem derslerin başlama tarihi ne zaman"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem eğitim ne zaman başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","okulun birinci dönemi hangi gün başlıyor"
"İlk dönem okul başlangıç tarihi 22.09.2025’tir.","birinci dönem ders başlangıç günü ne zaman"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci_dönem_okul_başlangıç"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci_dönem_ders_başlangıç"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci_dönem_ders_başlangıç_tarihi"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci_dönem_ne_zaman_başlayacak"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci_dönem_ders_başlangıç_tarihi"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci_dönem_okul_ne_zaman_başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci_dönem_okullar_ne_zaman_açılacak"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci_dönem_dersler_ne_zaman_başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci_dönem_hangi_gün_başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci dönem ne zaman başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci dönem ne zaman açılacak"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci dönem dersleri hangi tarihte başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci dönem açılış tarihi nedir"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","okulun ikinci dönemi ne zaman başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci dönem derslerin başlama tarihi ne zaman"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2.dönem_dönem_hangi_gün_başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2._dönem_okul_başlangıç"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2._dönem_okul_ne_zaman_başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2._dönem_okullar_ne_zaman_açılacak"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2._dönem_dersler_ne_zaman_başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2. dönem ne zaman başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2. dönem ne zaman açılacak"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2. dönem dersler hangi tarihte başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2. dönem hangi tarihte başlar"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","okulun 2. dönemi ne zaman başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2. dönem açılış tarihi nedir"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2. dönem hangi gün başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","okulun ikinci dönemi ne zaman açılacak"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","2. dönem derslerin başlama tarihi ne zaman"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci dönem hangi tarihte başlar"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci_yarıyıl_okul_başlangıç"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci_yarıyıl_okul_ne_zaman_başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci yarıyıl ne zaman başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci yarıyıl hangi gün başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci yarıyıl ne zaman açılacak"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","okulun ikinci yarıyılı ne zaman başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci yarıyıl dersleri ne zaman başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci yarıyıl hangi tarihte başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci yarıyıl açılış tarihi nedir"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci yarıyıl eğitim ne zaman başlayacak"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","okulun ikinci yarıyılı hangi tarihte açılıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci yarıyıl hangi tarihte açılacak"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci yarıyıl derslerin başlama tarihi nedir"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","okulun ikinci yarıyıl başlangıcı ne zaman"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","ikinci yarıyılın ilk günü ne zaman"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar_dönemi_okul_başlangıç_tarihi"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar_dönemi_ders_başlangıç_tarihi"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar_dönemi_eğitim_başlangıcı"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","Bahar_dönemi_okul_başlangıç"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","Bahar_dönemi_okul_ne_zaman_başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar_dönemi_hangi_gün_başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar dönemi ne zaman başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar dönemi ne zaman açılacak"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar dönemi dersleri ne zaman başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar dönemi hangi tarihte başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar dönemi açılış tarihi nedir"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar dönemi eğitim hangi tarihte başlar"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","okulun bahar dönemi ne zaman başlıyor"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar dönemi derslerin başlama tarihi ne zaman"
"İkinci dönem okul başlangıç tarihi 02.02.2026’dır.","bahar dönemi hangi gün açılacak"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","İlk_dönem_okul_ne_zaman_bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","okul_İlk_dönem_ne_zaman_bitecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","İlk_dönem_okul_bitiş"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","İlk_dönem_okul_son_gün"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","İlk_dönem_hangi_gün_bitecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","İlk_dönem_hangi_gün_bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","İlk_dönem_ne_zaman_bitecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","İlk_dönem_okul_hangi_gün_bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem_okul_hangi_gün_bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","İlk_dönem_ders_bitişi_ne_zaman"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","ilk dönem ne zaman bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","ilk dönem hangi tarihte bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","ilk dönem okul ne zaman sona erecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","okulun ilk dönemi ne zaman bitecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","ilk dönem derslerin bitiş tarihi ne zaman"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz_dönemi_okul_hangi_gün_bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz_dönemi_bitiş_tarihi"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz_dönemi_ders_bitiş_tarihi"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz_dönemi_eğitim_bitiş_tarihi"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz_dönemi_okul_bitiş"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz_dönemi_okul_ne_zaman_bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz dönemi ne zaman bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz dönemi hangi tarihte sona eriyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz dönemi okul ne zaman bitecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz dönemi hangi gün sona erecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz dönemi eğitim ne zaman bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","okulun güz dönemi ne zaman bitecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz dönemi kapanış tarihi nedir"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz dönemi hangi tarihte biter"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","güz dönemi derslerin bitiş tarihi ne zaman"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","1.dönem_okul_hangi_gün_bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","1. dönem dersler ne zaman bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","1. dönem okul bitiş"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","1. dönem okul ne zaman bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","1. dönem ne zaman bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","1. dönem hangi tarihte bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","1. dönem okul ne zaman sona erecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","okulun 1. dönemi ne zaman bitecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","1. dönem derslerin bitiş tarihi ne zaman"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem okul ne zaman bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem hangi tarihte bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","okulun birinci dönemi ne zaman sona erecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","1. dönem kapanış tarihi nedir"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","okulun 1. dönemi hangi gün bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","1. dönem eğitim ne zaman bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem okul bitiş"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem okul ne zaman bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem dersler ne zaman bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem ne zaman bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem hangi tarihte bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem okul ne zaman sona erecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","okulun birinci dönemi ne zaman bitecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem derslerin bitiş tarihi ne zaman"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem hangi gün bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem eğitimi ne zaman sona eriyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem kapanış tarihi nedir"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem hangi gün sona erecek"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","okulun birinci dönemi hangi tarihte bitiyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem ne zaman tamamlanıyor"
"İlk dönem okul bitiş tarihi 04.01.2026’dır.","birinci dönem ne zaman sona eriyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci_dönem_okul_son_gün"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci_dönem_son_gün"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci_dönem_okul_bitiş"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci_dönem_okul_ne_zaman_bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci_dönem_dersler_bitiş_tarihi"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci_dönem_dersler_ne_zaman_bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci_dönem_hangi_gün_bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci dönem ne zaman bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci dönem hangi tarihte bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci dönem okul ne zaman sona erecek"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","okulun ikinci dönemi ne zaman bitecek"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci dönem derslerin bitiş tarihi ne zaman"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci dönem eğitim ne zaman bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci dönem hangi gün sona eriyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci dönem kapanış tarihi nedir"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2.dönem_dönem_hangi_gün_bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2._dönem_okul_bitiş"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2._dönem_okul_ne_zaman_bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2._dönem_dersler_bitiş_tarihi"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2._dönem_dersler_ne_zaman_bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2. dönem ne zaman bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2. dönem hangi tarihte bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2. dönem okul ne zaman sona erecek"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","okulun 2. dönemi ne zaman bitecek"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2. dönem derslerin bitiş tarihi ne zaman"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2. dönem hangi gün sona eriyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2. dönem kapanış tarihi nedir"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2. dönem eğitimi ne zaman sona eriyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","2. dönem ne zaman sona eriyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","okulun ikinci dönemi hangi tarihte bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci_yarıyıl_okul_bitiş"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci_yarıyıl_okul_ne_zaman_bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci yarıyıl ne zaman bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci yarıyıl hangi tarihte bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci yarıyıl okul ne zaman sona erecek"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","okulun ikinci yarıyılı ne zaman bitecek"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci yarıyıl hangi gün bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci yarıyıl eğitimi ne zaman bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci yarıyıl kapanış tarihi nedir"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci yarıyıl ne zaman sona eriyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci yarıyıl derslerin bitiş tarihi ne zaman"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci yarıyıl hangi tarihte sona eriyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","okulun ikinci yarıyılı hangi tarihte bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci yarıyıl dersleri ne zaman bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","ikinci yarıyıl hangi gün sona erecek"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","bahar_dönemi_okul_bitiş_tarihi"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","bahar_dönemi_ders_bitiş_tarihi"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","bahar_dönemi_eğitim_bitiş_tarihi"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","Bahar_dönemi_okul_bitiş"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","Bahar_dönemi_okul_ne_zaman_bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","Bahar_dönemi_ders_bitişi_ne_zaman"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","bahar_dönemi_hangi_gün_bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","bahar dönemi okul ne zaman bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","bahar dönemi ne zaman sona eriyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","bahar dönemi ne zaman bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","bahar dönemi hangi tarihte bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","bahar dönemi okul ne zaman sona erecek"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","bahar dönemi kapanış tarihi nedir"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","bahar dönemi eğitimi ne zaman bitiyor"
"İkinci dönem okul bitiş tarihi 24.05.2026’dır.","okulun bahar dönemi hangi tarihte bitiyor"
"İlk dönem vize tarihi 15.11.2025’tir.","İlk_dönem_vizeler"
"İlk dönem vize tarihi 15.11.2025’tir.","İlk_dönem_vizeler_ne_zaman"
"İlk dönem vize tarihi 15.11.2025’tir.","İlk_dönem_vizeler_hangi_gün_başlıyor"
"İlk dönem vize tarihi 15.11.2025’tir.","İlk_dönem_vize_tarihi"
"İlk dönem vize tarihi 15.11.2025’tir.","ilk dönem vizeler ne zaman"
"İlk dönem vize tarihi 15.11.2025’tir.","ilk dönem vize sınavı ne zaman"
"İlk dönem vize tarihi 15.11.2025’tir.","ilk dönem vize sınav tarihi nedir"
"İlk dönem vize tarihi 15.11.2025’tir.","ilk dönem vizeler hangi tarihte yapılacak"
"İlk dönem vize tarihi 15.11.2025’tir.","ilk dönem vize haftası ne zaman"
"İlk dönem vize tarihi 15.11.2025’tir.","ilk dönem sınavları hangi tarihte başlıyor"
"İlk dönem vize tarihi 15.11.2025’tir.","ilk dönem vize günü ne zaman"
"İlk dönem vize tarihi 15.11.2025’tir.","okulun ilk dönemi vizeleri ne zaman"
"İlk dönem vize tarihi 15.11.2025’tir.","ilk dönem ara sınavları ne zaman"
"İlk dönem vize tarihi 15.11.2025’tir.","ilk dönem sınav haftası ne zaman"
"İlk dönem vize tarihi 15.11.2025’tir.","ilk dönem vize tarihleri hangi gün"
"İlk dönem vize tarihi 15.11.2025’tir.","güz_dönemi_vizeler"
"İlk dönem vize tarihi 15.11.2025’tir.","güz_dönemi_vizeler_ne_zaman"
"İlk dönem vize tarihi 15.11.2025’tir.","güz_dönemi_vize_tarihi"
"İlk dönem vize tarihi 15.11.2025’tir.","güz_dönemi_vizeler_hangi_gün_başlıyor"
"İlk dönem vize tarihi 15.11.2025’tir.","güz dönemi vizeler ne zaman"
"İlk dönem vize tarihi 15.11.2025’tir.","güz dönemi vize sınavı ne zaman"
